58,261,management
33,76,entrepreneur
35,139,management
28,217,management
42,380,entrepreneur
58,50,retired
51,353,retired
60,219,retired
56,164,management
40,181,retired
39,296,management
52,127,entrepreneur
46,255,management
49,230,management
51,336,management
50,180,management
54,1492,retired
58,616,retired
29,363,management
48,253,management
32,179,management
38,174,entrepreneur
38,104,management
51,91,management
60,528,retired
59,273,management
54,154,management
46,188,management
57,180,retired
42,48,management
57,173,entrepreneur
36,426,management
60,101,retired
46,197,management
59,514,retired
45,849,management
59,107,retired
33,364,management
59,178,management
55,677,management
26,610,student
40,2033,management
39,85,management
60,238,retired
52,99,management
53,252,entrepreneur
35,138,retired
51,717,management
58,167,retired
54,140,management
31,562,management
51,172,retired
33,217,management
55,142,management
43,256,management
35,611,student
41,42,management
41,251,management
42,215,retired
53,216,retired
39,127,management
35,300,entrepreneur
55,136,retired
58,213,management
33,27,management
57,746,entrepreneur
43,702,entrepreneur
49,232,management
42,408,management
40,39,management
50,119,management
59,73,entrepreneur
34,113,management
42,58,management
41,151,entrepreneur
30,89,student
37,152,management
42,562,management
56,118,entrepreneur
59,143,retired
37,98,management
24,226,student
54,120,management
24,204,student
57,248,retired
54,83,management
43,105,management
40,136,retired
48,224,management
55,111,management
58,174,management
45,313,management
43,124,management
34,39,management
55,174,management
46,113,management
33,396,entrepreneur
48,350,management
43,306,management
23,54,student
33,290,management
40,260,management
56,1201,management
60,1030,retired
50,326,management
58,393,retired
36,168,entrepreneur
49,496,management
32,118,management
43,196,management
42,765,management
35,181,management
46,187,management
37,451,management
57,204,retired
50,323,management
31,82,management
39,185,management
54,472,management
59,264,management
37,374,management
57,531,retired
60,80,retired
58,118,retired
50,82,management
49,198,entrepreneur
46,269,management
42,157,management
29,211,management
53,267,retired
38,288,management
46,221,management
48,427,management
40,145,management
30,289,student
35,424,entrepreneur
38,440,management
61,179,retired
53,69,entrepreneur
44,352,management
48,315,retired
48,339,management
39,278,management
59,289,retired
31,170,management
52,392,entrepreneur
55,328,management
38,132,entrepreneur
31,175,student
41,524,management
29,311,student
38,100,management
41,333,entrepreneur
31,396,management
38,262,management
31,320,management
42,65,management
40,221,management
49,221,management
29,75,student
44,346,entrepreneur
57,251,management
36,95,entrepreneur
56,31,retired
53,593,retired
58,172,management
60,631,retired
44,1529,management
47,135,entrepreneur
34,314,management
55,42,retired
35,55,management
53,336,management
31,206,entrepreneur
30,122,management
36,164,management
29,169,student
45,35,management
42,720,management
46,70,management
29,141,student
59,106,retired
40,502,retired
43,131,management
39,275,management
56,333,retired
56,97,retired
31,953,management
55,74,retired
34,105,management
40,477,management
42,168,management
45,254,entrepreneur
37,228,management
54,112,management
33,111,retired
40,97,management
38,184,management
55,241,management
37,204,management
42,254,management
32,193,management
47,126,management
29,230,student
29,336,entrepreneur
33,463,management
35,192,management
44,126,retired
47,104,management
30,245,management
55,634,retired
27,68,management
46,49,entrepreneur
31,380,management
29,376,management
37,36,management
57,229,retired
57,117,retired
44,185,management
41,60,management
58,516,retired
60,386,retired
33,262,management
33,118,entrepreneur
42,650,entrepreneur
33,48,management
39,68,management
52,688,entrepreneur
36,349,entrepreneur
58,103,management
37,96,management
23,278,management
51,114,management
27,332,student
41,764,management
44,113,entrepreneur
39,42,management
42,234,management
56,305,management
33,256,management
37,564,management
43,79,entrepreneur
59,66,retired
57,71,retired
29,1689,management
28,122,management
56,282,management
32,143,entrepreneur
35,297,management
59,425,retired
32,162,management
34,125,management
25,109,management
42,314,entrepreneur
41,146,management
57,193,retired
56,1040,management
41,170,entrepreneur
35,1084,management
43,528,management
51,61,management
36,41,entrepreneur
34,65,management
31,20,management
30,202,management
38,56,management
27,238,student
51,418,retired
34,187,entrepreneur
49,285,management
41,106,management
58,12,retired
34,214,management
60,75,retired
47,155,management
57,339,management
30,255,management
35,249,management
36,215,entrepreneur
35,81,management
38,124,management
39,87,management
26,278,student
30,229,entrepreneur
41,160,management
40,82,management
38,475,management
32,64,management
31,156,management
36,362,management
55,176,entrepreneur
57,1007,management
52,98,management
27,319,student
33,982,entrepreneur
43,756,management
26,108,student
60,395,retired
32,161,management
28,491,management
34,44,management
40,406,management
59,422,retired
28,219,management
31,314,management
47,28,management
26,229,student
42,103,management
43,2087,management
33,245,management
34,650,management
39,66,management
32,477,management
40,219,management
25,453,entrepreneur
57,10,entrepreneur
53,66,management
29,240,management
55,144,entrepreneur
34,442,management
42,186,retired
51,261,management
41,352,management
34,335,management
50,233,management
59,43,entrepreneur
55,67,management
41,110,management
38,92,management
27,93,student
40,105,management
42,193,management
41,8,management
34,84,management
32,399,management
59,89,retired
43,123,management
39,272,management
44,40,management
53,123,management
41,51,management
30,145,management
32,466,management
39,423,management
52,306,management
26,99,management
35,166,management
35,287,management
58,126,management
35,64,management
44,128,management
34,162,management
32,211,management
42,105,management
53,101,entrepreneur
35,357,management
37,59,management
34,198,management
29,45,management
30,164,management
36,117,management
51,18,management
40,138,retired
59,485,management
38,576,entrepreneur
54,86,retired
44,93,management
22,238,student
28,98,management
43,219,management
27,132,management
31,384,management
23,545,student
60,95,management
34,133,management
29,200,management
39,324,management
32,280,management
32,230,entrepreneur
30,261,management
39,180,retired
35,189,management
26,70,management
27,111,student
30,197,entrepreneur
28,224,management
43,150,management
33,188,management
23,97,student
41,285,management
53,126,management
34,76,management
21,622,student
26,275,management
58,225,retired
29,324,management
47,128,management
35,61,management
26,346,entrepreneur
43,204,management
35,1461,management
39,129,entrepreneur
57,147,management
38,150,entrepreneur
46,332,entrepreneur
35,750,management
32,179,management
39,107,entrepreneur
31,94,management
24,180,student
47,229,management
56,73,management
31,330,management
29,25,student
44,124,management
51,178,management
53,44,management
50,51,management
40,260,management
45,214,management
41,878,management
53,244,management
34,162,entrepreneur
52,86,management
35,83,management
23,194,management
37,268,entrepreneur
37,77,management
37,328,management
31,154,management
54,155,management
31,111,management
58,244,management
31,1534,management
57,144,management
56,148,management
49,345,management
50,1002,management
25,104,management
25,399,student
55,128,retired
59,144,retired
37,346,management
54,76,management
26,127,management
35,102,management
32,757,management
27,145,management
35,405,management
31,207,management
42,325,management
25,53,student
60,113,retired
32,523,entrepreneur
31,281,entrepreneur
32,112,entrepreneur
54,255,retired
59,63,retired
29,214,entrepreneur
33,1495,management
47,379,entrepreneur
35,225,management
32,101,management
56,123,retired
54,391,entrepreneur
40,619,management
30,262,management
42,247,management
23,166,student
27,391,management
24,126,student
45,55,management
35,66,management
36,63,entrepreneur
38,163,management
57,41,management
42,221,management
42,248,management
21,198,student
46,138,entrepreneur
33,212,entrepreneur
33,456,management
40,145,management
32,289,management
33,65,management
32,93,management
34,166,entrepreneur
38,1875,management
58,186,entrepreneur
44,103,management
41,143,entrepreneur
35,182,management
26,723,entrepreneur
33,1346,management
31,449,management
48,98,entrepreneur
21,49,student
33,155,management
32,500,management
38,568,management
22,154,management
54,618,retired
47,295,retired
57,227,management
59,248,retired
39,427,management
34,213,management
50,126,management
61,118,retired
45,147,management
49,67,retired
59,77,retired
54,191,management
44,27,management
59,94,retired
59,806,retired
42,31,management
59,766,retired
23,395,entrepreneur
59,131,management
49,122,management
45,60,management
48,683,management
45,470,entrepreneur
48,149,management
54,106,retired
44,129,management
46,36,entrepreneur
49,95,entrepreneur
46,120,management
59,129,retired
45,170,entrepreneur
36,355,management
56,128,retired
52,845,management
57,52,management
49,113,entrepreneur
40,518,management
25,124,management
53,209,retired
34,813,management
53,916,retired
53,225,retired
37,753,entrepreneur
57,708,retired
53,242,management
56,172,entrepreneur
51,535,management
41,161,management
55,901,retired
44,92,management
46,54,management
57,95,management
37,60,management
59,354,retired
42,77,management
51,184,management
48,43,management
48,195,entrepreneur
49,46,management
48,60,management
26,129,management
60,34,retired
58,788,retired
41,181,management
30,159,management
60,58,retired
52,165,entrepreneur
55,309,management
43,437,entrepreneur
59,168,retired
33,247,management
60,291,retired
44,194,management
50,379,management
54,151,retired
55,647,retired
53,322,retired
49,50,management
40,195,entrepreneur
57,288,retired
47,284,management
41,232,management
38,124,management
39,323,entrepreneur
42,735,management
55,139,retired
48,175,entrepreneur
38,137,management
46,22,retired
44,211,entrepreneur
45,167,management
42,260,management
52,188,management
48,145,management
28,163,management
43,318,entrepreneur
26,174,student
59,278,retired
42,238,management
52,110,management
30,138,management
45,158,management
45,132,management
40,150,management
57,124,management
47,114,management
49,153,entrepreneur
39,1328,management
60,80,retired
58,300,retired
42,253,management
59,1125,retired
59,282,retired
42,110,management
31,298,management
51,178,management
54,452,management
45,120,entrepreneur
53,171,retired
50,94,management
53,429,management
42,299,management
47,282,management
55,77,management
54,189,retired
57,32,retired
49,139,entrepreneur
42,339,management
60,930,retired
48,125,management
52,166,entrepreneur
60,407,retired
28,438,management
53,521,management
57,191,retired
31,109,management
50,214,management
57,248,retired
36,784,management
41,57,entrepreneur
40,210,entrepreneur
40,222,entrepreneur
53,157,entrepreneur
31,143,management
53,161,management
45,44,entrepreneur
49,416,entrepreneur
57,138,retired
61,71,retired
54,75,management
60,378,management
35,192,management
32,48,management
26,107,student
29,180,entrepreneur
29,354,management
30,242,management
44,183,management
30,382,management
49,264,retired
42,468,management
60,163,retired
44,191,management
47,146,management
28,162,student
45,126,entrepreneur
50,166,entrepreneur
33,738,management
59,238,retired
34,94,management
57,271,retired
52,249,management
47,143,management
20,168,student
55,159,management
41,318,entrepreneur
57,747,management
41,95,management
43,114,retired
32,86,management
58,288,management
54,44,entrepreneur
42,90,management
50,226,management
50,305,management
57,391,management
30,236,management
53,100,entrepreneur
51,70,retired
60,230,retired
47,246,management
53,73,retired
43,259,retired
56,189,retired
44,71,management
57,75,management
46,244,management
60,325,entrepreneur
60,157,retired
51,203,entrepreneur
60,182,retired
49,305,entrepreneur
47,140,management
29,1088,management
44,219,entrepreneur
39,171,entrepreneur
57,178,retired
46,86,management
57,1036,retired
53,750,entrepreneur
40,435,entrepreneur
60,397,entrepreneur
45,95,entrepreneur
42,161,management
57,112,entrepreneur
51,30,management
44,74,management
56,79,retired
56,221,retired
54,352,entrepreneur
58,290,retired
53,106,entrepreneur
46,236,management
50,651,entrepreneur
42,98,management
60,120,retired
40,101,entrepreneur
60,229,retired
60,104,retired
50,348,management
41,334,management
57,405,retired
53,738,management
35,203,entrepreneur
28,133,student
35,136,management
58,1244,management
25,225,management
60,301,retired
60,133,retired
40,68,management
46,200,management
42,98,management
56,127,management
53,122,retired
45,657,management
41,71,management
42,193,management
41,57,entrepreneur
45,197,management
41,344,management
58,525,management
44,152,management
39,815,management
22,282,student
43,422,management
34,328,management
25,22,student
46,106,entrepreneur
40,56,retired
43,190,management
41,323,entrepreneur
32,228,management
42,84,management
33,399,management
59,132,management
48,995,entrepreneur
47,59,management
33,279,management
55,30,management
50,388,management
29,1224,management
54,589,management
50,438,management
48,52,management
41,1156,retired
30,73,management
59,157,management
59,584,retired
49,146,management
33,156,management
43,184,management
60,92,retired
36,475,management
44,770,management
54,809,management
43,317,management
53,523,management
40,184,management
58,850,management
59,118,retired
48,151,entrepreneur
60,78,management
61,88,retired
57,262,management
55,202,management
54,438,management
49,213,retired
31,293,management
58,177,management
60,65,retired
56,374,entrepreneur
58,137,management
41,178,management
43,122,management
53,107,retired
60,597,management
41,247,management
58,228,retired
35,512,management
57,73,management
27,456,student
28,225,management
32,387,management
53,286,management
32,223,management
33,803,management
48,137,management
56,130,management
46,250,management
32,91,management
29,49,management
39,107,management
44,134,entrepreneur
34,261,entrepreneur
41,330,management
37,537,management
57,122,retired
50,130,entrepreneur
59,140,retired
36,73,management
27,24,management
46,42,management
43,343,management
56,178,retired
27,131,entrepreneur
58,38,retired
43,107,management
45,178,management
54,865,management
32,381,management
40,412,management
55,56,management
38,177,management
27,344,management
54,216,entrepreneur
57,199,entrepreneur
28,461,management
27,213,management
32,411,entrepreneur
56,291,retired
41,270,management
41,124,management
46,94,management
56,378,retired
36,1161,management
60,103,retired
60,194,management
29,16,management
50,274,management
50,788,management
55,92,management
56,180,entrepreneur
40,71,management
24,234,retired
36,339,management
33,806,management
49,198,management
30,476,management
54,1297,management
34,4,management
53,165,entrepreneur
32,385,management
27,89,management
31,148,management
42,243,management
57,186,retired
51,59,management
25,102,management
48,293,management
37,1187,management
58,145,retired
36,39,management
60,134,management
37,594,entrepreneur
50,92,management
43,114,management
46,221,management
58,35,retired
40,181,management
42,131,management
44,468,entrepreneur
55,95,management
42,112,management
46,134,management
49,298,management
57,455,management
57,97,management
28,234,student
27,352,management
45,182,entrepreneur
